Primitive1:=[Cylinder, [7.874 0 0 0 0 -7.874 -0 1 -0 -21.373 0 21.373]];

Primitive2:=[Cylinder, [15.113 0 0 0 0 -15.113 -0 1 -0 0 9.6774 0]];

Primitive3:=[Cylinder, [7.874 0 0 0 0 -7.874 -0 1 -0 21.373 0 21.373]];

Primitive4:=[Cone, [9.0805 0 0 -0 0 9.0805 0.707107 0 0 -0 0 0.707107 -0 -0.707107 0 0 46.228 0]];

Primitive5:=[Cylinder, [7.874 0 0 0 0 -7.874 -0 1 -0 -21.373 0 -21.373]];

Primitive6:=[Plane, [1 0 0 -0 0 1 0 9.652 0]];

Primitive7:=[Cylinder, [-17.526 0 0 0 0 -17.526 -0 -1 -0 0 -1.524 0]];

Primitive8:=[Cylinder, [-10.668 0 0 0 0 -10.668 -0 -1 -0 0 36.703 0]];

Primitive9:=[Cylinder, [7.874 0 0 0 0 -7.874 -0 1 -0 21.373 0 -21.373]];

Primitive10:=[Cone, [10.668 0 0 -0 0 10.668 0.162293 0 0 -0 0 0.162293 -0 -0.986743 0 0 36.703 0]];

Primitive11:=[Cylinder, [7.874 0 0 0 0 -7.874 -0 1 -0 0 9.652 0]];

Primitive12:=[Cylinder, [44.45 0 0 0 0 -44.45 -0 1 -0 0 9.652 0]];

Primitive13:=[Plane, [1 0 0 -0 0 1 0 0 0]];

Primitive14:=[Plane, [1 0 0 -0 0 1 0 -1.524 0]];

Primitive15:=[Plane, [0 0 -1 -1 0 0 0 46.228 0]];

